date_jst_iso,mac_address,temperature,humidity,pm1_0,pm2_5,pm10,co2,tvoc,ch2o,co
2025-09-01T11:30:40.680+09:00,dc:2e:97:ff:f8:c7,24.2,61.6,4,6,6,819,59,109,0.0
2025-09-01T11:31:48.212+09:00,dc:2e:97:ff:f8:c7,24.1,61.6,4,6,6,818,59,108,0.0
2025-09-01T11:32:51.579+09:00,dc:2e:97:ff:f8:c7,24.1,61.6,4,6,6,821,58,103,0.0
2025-09-01T11:33:57.513+09:00,dc:2e:97:ff:f8:c7,24.1,61.6,4,6,6,820,58,106,0.0
2025-09-03T10:47:52.449+09:00,dc:2e:97:ff:f8:c7,24.2,63.3,2,3,3,755,59,106,0.0
2025-09-03T11:18:26.925+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:27.952+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:27.859+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:28.679+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:18:28.897+09:00,dc:2e:97:ff:f8:c7,24.2,62.9,2,3,3,751,51,85,0.0
2025-09-03T11:19:32.926+09:00,dc:2e:97:ff:f8:c7,24.3,62.9,2,3,3,753,50,86,0.0
2025-09-03T13:14:09.195+09:00,dc:2e:97:ff:f8:c7,24.3,63.5,1,2,2,810,140,247,0.0
2025-09-03T13:15:14.172+09:00,dc:2e:97:ff:f8:c7,24.3,63.6,1,2,2,813,138,234,0.0
2025-09-03T15:51:21.261+09:00,dc:2e:97:ff:f8:c7,24.0,63.3,1,2,2,901,53,96,0.0
2025-09-03T17:02:18.372+09:00,dc:2e:97:ff:f8:c7,23.9,64.0,0,0,0,876,62,116,0.0
2025-09-03T17:13:13.039+09:00,dc:2e:97:ff:f8:c7,23.9,64.5,0,0,0,874,60,112,0.0
2025-09-03T17:14:19.268+09:00,dc:2e:97:ff:f8:c7,23.9,64.4,0,1,1,870,60,113,0.0
2025-09-03T17:15:27.088+09:00,dc:2e:97:ff:f8:c7,23.9,64.4,0,1,1,869,60,111,0.0
2025-09-03T17:16:31.133+09:00,dc:2e:97:ff:f8:c7,23.9,64.3,0,1,1,871,60,114,0.0
2025-09-03T17:17:35.149+09:00,dc:2e:97:ff:f8:c7,23.9,64.3,0,0,0,870,60,112,0.0
2025-09-03T17:20:53.014+09:00,dc:2e:97:ff:f8:c7,23.9,64.2,0,1,1,867,59,111,0.0
2025-09-04T11:03:01.862+09:00,dc:2e:97:ff:f8:c7,24.0,66.3,0,1,1,789,58,106,0.0
2025-09-04T11:03:01.863+09:00,dc:2e:97:ff:f8:c7,24.0,66.3,0,1,1,789,58,106,0.0
2025-09-04T11:11:46.984+09:00,dc:2e:97:ff:f8:c7,24.1,66.2,0,1,1,801,57,100,0.0
2025-09-04T11:35:48.024+09:00,dc:2e:97:ff:f8:c7,24.3,66.0,0,1,1,818,53,94,0.0
2025-09-04T11:36:53.106+09:00,dc:2e:97:ff:f8:c7,24.3,65.9,0,1,1,819,53,93,0.0
2025-09-04T13:50:04.875+09:00,dc:2e:97:ff:f8:c7,24.1,66.6,0,1,1,864,65,122,0.0
2025-09-04T16:25:04.850+09:00,dc:2e:97:ff:f8:c7,24.0,65.7,1,2,2,886,54,92,0.0
2025-09-04T16:30:32.228+09:00,dc:2e:97:ff:f8:c7,24.1,65.6,2,3,3,881,68,115,0.0
2025-09-04T16:31:38.572+09:00,dc:2e:97:ff:f8:c7,24.0,65.5,1,2,2,880,63,113,0.0
2025-09-04T16:32:46.983+09:00,dc:2e:97:ff:f8:c7,24.0,65.5,1,2,2,877,63,111,0.0
2025-09-04T16:35:59.628+09:00,dc:2e:97:ff:f8:c7,24.1,65.4,1,2,2,876,73,134,0.0
2025-09-04T16:44:44.115+09:00,dc:2e:97:ff:f8:c7,24.1,65.3,1,2,2,869,72,126,0.0
2025-09-04T16:51:16.785+09:00,dc:2e:97:ff:f8:c7,24.1,65.2,1,2,2,873,73,120,0.0
2025-09-04T17:07:39.431+09:00,dc:2e:97:ff:f8:c7,24.0,65.6,1,2,2,869,59,108,0.0
2025-09-04T17:08:43.000+09:00,dc:2e:97:ff:f8:c7,24.0,65.6,1,2,2,869,59,108,0.0
2025-09-04T17:09:47.596+09:00,dc:2e:97:ff:f8:c7,24.0,65.5,1,2,2,877,59,104,0.0
2025-09-04T17:10:55.519+09:00,dc:2e:97:ff:f8:c7,23.9,65.4,1,2,2,889,58,103,0.0
2025-09-04T17:22:56.723+09:00,dc:2e:97:ff:f8:c7,23.7,66.0,1,2,2,875,55,95,0.0
2025-09-04T17:27:18.291+09:00,dc:2e:97:ff:f8:c7,23.7,66.1,2,3,4,870,54,94,0.0
